titulo,empresa,descripcion
flutter,DESYSNET,"DESARROLLADOR FLUTTERAl menos 3 años de experiencia en desarrollo con Flutter.Consumo de servicios SOAP / RESTControl de cambios de código (Git / Bitbucket).Lenguajes de programación (Dart / Javascript).Motores de base de datos (MySQL, MongoDB, SQL Server).Carrera terminada (obligatoria) no pasantes, en curso, trunca.Excelente experiencia en el manejo de FlutterDisponibilidad inmediata para incorporarseBuena actitudDecididos a integrarse al proyectoTrabajo de manera remoto, en caso de estar en sitio seria por metro TaxqueñaOfrecemos sueldo 100% nomina y prestaciones de leyDuración del contrato: 6 -12 mesesTipo de puesto: Tiempo completo, Por contratoSalario: $20,000.00 - $30,000.00 al mesExperiencia:flutter: 3 años (Requisito deseable)Educación:Licenciatura terminada (Requisito mínimo)Ubicación:Coyoacán, CDMX (Requisito deseable)Nivel de Inglés:Nivel intermedio alto (Requisito deseable)Uso de la computadora:Buen dominio (Requisito mínimo)Trabajar desde casa:Sí, temporalmente debido a la COVID-19"
Desarrollador Back End,Jaque Digital S.A.P.I de C.V.,"Desarrollador BED MiddleEn JAQUE, nos dedicamos al desarrollo de software a medida, seguimos un principio de apertura a las ideas, a la innovación y a los procesos; lo que nos diferencia del resto de las empresas. Estámos integrados de jóvenes ingenieros, expertos en programación y personal especializados en TI apasionados por crear plataformas digitales que cambian la manera de administrar las empresas, en México y América. Si buscas un sitio donde puedas crecer aquí tienes la oportunidad.*
Objetivo Desarrollar toda la lógica del servidor y la definición de la base de datos central, y garantizar un alto rendimiento y capacidad de respuesta a las solicitudes por parte de la interfaz del usuario.Funciones y ResponsabilidadesSeguir buenas prácticas de programaciónCapacidad de resolver problemasRealizar el desarrollo de software utilizando el lenguaje de programación JavaScript (NodeJS)Optimizar la aplicación para máxima velocidad y escalabilidadRealizar la integración con base de Datos SQL y NoSQL.Participar en las reuniones Stand Up del proyectoConocimiento técnico Experiencia de dos años en el área de Back EndTener experiencia usando JavaScript (NodeJS), saber usar promesas y async awaitSaber usar los frameworks express o sailsTener experiencia usando bases de datos relacionales (mysql, postgres, etc) y no relacionales (mongo)Tener experiencia usando gitTener buen manejo de shellJaque te ofrece Salario de 20 a 25 (negociables)Ambiente agradable de trabajoHorario flexible de lunes a viernesVacaciones a partir de los 6 meses de ingreso (según carga de trabajo).Gimnasio Particular.Clases de Box Particulares.Clases de inglés presenciales para todos los niveles .Equipo de fútbol.Seguro de Gastos médicos mayoresBono por antigüedadBono por objetivos cumplidos en los proyectos asignadosPlan de crecimiento*Tipo de puesto: Tiempo completo, IndefinidoSalario: $20,000.00 - $25,000.00 al mesHorario:Lunes a viernesExperiencia:Desarrollador BED: 2 años (Requisito deseable)Trabajar desde casa:Sí, temporalmente debido a la COVID-19"
PROGRAMADOR JR/DESARROLLADOR WEB,Organización,"Esta vacante viene de la bolsa de empleo Talenteca.com


Estamos en búsqueda de talento como tú!!!


Requisitos:


Experiencia: 2 años en programación, desarrollo , base de datos.


Escolaridad: Ingeniería en Sistemas, Mecatrónica, Sistemas computacionales o a fin.


INDISPENSABLE: Contar con conocimientos y/o certificaciones en: Microsoft Azure, React JS, PHP, WordPress, Route 53, Linux, DNS.


NO SOPORTE TECNICO, Sus funciones serán las siguientes:


Administración de todos los servicios en la consola de Anzure.


Integración de herramientas de Marketing digital y CRM( amazon mailchimp, whatsapp marketng)


Creación o implementación de nuevos sitios en la consola de Anzure.


Creación, implementación o actualización de sitios web y plataformas.


Si cubres con el perfil no dudes en postularte y pronto te contactaremos

Esta vacante viene de la bolsa de empleo Talenteca.com: https://www.talenteca.com/mexico/empleo/coyoacan/programador-jrdesarrollador-web/5fac31e55a00002385036231t2?source=indeed"
Desarrollador de apps Junior (Android e IOS) GDL,RecluIT,"Esta vacante viene de la bolsa de empleo Talenteca.com


Integrate en nuestro equipo internacional de desarrolladores de Apps.


Desarrollador de apps Jr (Android e IOS) GDL


Escolaridad: Afin a Tecnologías de la información.


Experiencia desarrollando apps nativas (IOS, Android)


Experiencia trabajando con IONIC


Conocimientos en diferentes lenguajes de programación y bases de datos.


Ofrecemos:


Sueldo 100% nómina $28,000 bruto + prestaciones + plan de carrera


Contactame vía correo o Whatsapp *

Esta vacante viene de la bolsa de empleo Talenteca.com: https://www.talenteca.com/mexico/empleo/guadalajara/desarrollador-de-apps-jr-android-e-ios-gdl/5fab50902e0000f77fa67eaft1?source=indeed"
Desarrollador Laravel,Programmer city,"¡Intégrate a nuestro equipo!Estamos en busca de un programador especializado, dedicado de forma específica en el desarrollo de aplicaciones web seleccionando el mejor lenguaje de programación.Edad: 20 a 35 años.Horario:  L a V 9:00 a 19:00 - Sábado 9:00 a 15:00Actividades: -Desarrollo y mantenimiento de API’s autenticadas por Oauth2/JWT.-Desarrollo y mantenimiento de sistemas web con Laravel.-Mantenimiento de versiones de proyectos en GIT.-Desarrollo y mantenimiento de definición técnica.-Desarrollo y mantenimiento de manuales de uso.Conocimientos y Experiencia: -Experiencia de un año (Comprobable)-Experiencia en ULM.-Experiencia en AWS (Amazon Web Services)-Modelado de Bases de Datos.-Buen manejo de características de Laravel.-Buen manejo de terminal Linux.-Buen manejo de las librerías Bootstrap, Vue.js, React & Angular.-Buen manejo de cPanel.-Buena lógica de programación.-Manejo de Bases de Datos MySQL.- Metodología de desarrollo ágil SCRUM.-Experiencia en el Desarrollo y uso de APlautenticadas Oauth2/ JWT.-Preferente contar con experiencia Bancaria-Contable. -Buen manejo de cPanel.Tipo de puesto: Tiempo completo, IndefinidoSalario: $18,000.00 - $30,000.00 al mesTrabajar desde casa:Temporalmente debido al COVID-19"
Desarrollador/a en aplicaciones móviles,"Greenpeace México, AC","Objetivo de la posición: Desarrollar una app nativa en iOS con Swift para la recolección de datos que proporciona el socio, con la finalidad de asegurar la correcta adquisición de nuevos donantes y dar mantenimiento a apps. Así como asistir en mantenimientos de Apps y participar en la creación e implementación de nuevas tecnologías.Responsabilidades principales: Desarrollar una aplicación móvil en iOS en un periodo de 6 meses, esta aplicación deberá contar con un inicio de sesión, captura de información del prospecto, envío de información vía API, desarrollo de interfaz de cobro en sitio y en caso de no tener internet en el dispositivo guardar la información momentáneamente de manera local.Asistir en el mantenimiento de AppsCrear la API que se conecte a un VPS para enviar la información a una base de datos.Crear la implementación con una o con varias pasarelas de pago.Requisitos Experiencia trabajando en sistema de base de datos SQLExperiencia desarrollando con SwiftExperiencia desarrollando en AndroidExperiencia en la creación y manejo de API’sExperiencia al menos de 2 años desarrollando y dando mantenimiento a apps para móvilInglés intermedioGreenpeace ofrece: Remuneración Mensual $17,657.00Trabajo remoto con agenda de entregables puntuales.Contrato temporal de 6 meses con posibilidades de extensión.Contrato vía nómina con prestaciones superiores a la leyOportunidad laboral en la organización ambientalista internacional más importante del planeta.Cómo aplicar: Las personas interesadas deben enviar su currículum vitae y carta de presentación que describa su experiencia en el desarrollo de apps. Último día para recibir documentos es el 21 de Noviembre de 2020.Duración del contrato: 6 mesesFecha límite para postularse: 21/11/2020Tipo de puesto: Tiempo completo, TemporalSalario: $17,657.00 al mesHorario:Turno de 8 horasExperiencia:Desarrollo de apps: 2 años (Requisito deseable)Trabajar desde casa:Sí, temporalmente debido a la COVID-19"
Desarrollador de Software,BIT FARM,"¿Eres un Ingeniero de Software con pasión por tu trabajo y quieres unirte a nuestra empresa?.Estamos buscando profesionales que nos ayude a construir software de calidad con los mejores estándares y las mejores funcionalidades.¿Crees que eres el candidato perfecto?, ....mándame tus datos para contactarte !Experiencia 4 años en:- Java EE- Java script- Oracle (PL/SQL)Deseable: - Spring (MVC,IOC)}- Jquery- JPAOfrecemos: - Sueldo competitivo- Prestaciones de ley los primeros 3 meses, después con base a la evaluación prestaciones superiores.- Excelente ambiente de trabajo-Fecha de inicio prevista: 20/11/2020Tipo de puesto: Tiempo completo, Por contrato, IndefinidoSalario: A partir de $25,000.00 al mesBeneficios:Estacionamiento gratuitoHorarios flexiblesExperiencia:oracle: 4 años (Requisito mínimo)java: 4 años (Requisito mínimo)"
Desarrollador C++,Neoris,"Requisitos: Carrera profesional terminada en las áreas relacionadas a la tecnología de informaciónExperiencia mnima de 5 años en Desarrollo C++ de Aplicaciones Desktop, de Consola y Bash.Inglés IntermedioConocimiento y actividades: Experiencia de 5 años en C++, Java, Spring,.Net Core, C#, MVVMDeseable Integración de librerías: jar, proyectos maven, gradle y aarManejo de hilos (tareas asíncronas)Consumo de Servicios Web y Rest ServicesBase de datos relacionalDiagnostico issues en errores de Aplicaciones Desktop, de Consola y Bash y de scripts de base de datos.Corrección de bugs en código de Aplicaciones Desktop, de Consola y Bash o en scripts de base de datos.Conocimientos en sistema de control de versiones como SVN, Git para versionar y asegurar código que se manipule.Despliegue de cambios y correcciones de Aplicaciones , Consola y Bash a ambientes PreProductivos (Dev y QA).Comunicar el resultado de construcción y modificaciones hechas.Reportar y da seguimiento a incidencias encontrados durante la ejecución de pruebas unitarias.Creación de guías de instalación y despliegue de cambios y correcciones realizadas a código.Apoyo para promover a los ambientes de pruebas, los fixes realizados a los aplicativos, para su posterior certificación por parte del equipo de pruebas.Seguimiento del plan de trabajo y plan de pruebas definido.Ofrecemos: Crecimiento ProfesionalAmbiente laboral dinámicoSueldo competitivoAtractivo plan de beneficiosPrestaciones de ley y superioresTipo de puesto: Tiempo completo, IndefinidoExperiencia:C++: 4 años (Requisito deseable)"
Java Developer (Backend),Shopper,"*
¡Hola!Somos Shopper, una startup de tecnología mexicana que busca conectar a los más valiosos canales de negocios digitales en un solo lugar.
¡Creemos que las mentes brillantes tienen el poder de hacer grandes cosas! Como nuestro próximo desarrollador BackEnd, el cual nos ayudara a tener las mejores apps del país, con una alta calidad que expresen la esencia y propósito de nuestra marca e inspiren a la gente que nos rodea. Debes sentirte cómod@ tanto al imaginar y proponer ideas nuevas, si tienes el potencial para ser un jugador activo de un equipo multidisciplinario con jugadores creativos, comerciales, de producto y técnicos para guiar experiencias de extremo a extremo desde su conceptualización hasta la entrega con sentido de urgencia esta vacante es para ti.*¿Que requieres?Java 7/8 (reciente)
Frameworks
Spring
MVC
HibernateBases de datos relacionales
SQL
Oracle
Web Services
Rest
API
RestFull
ApiDoc
PostMan
Swagger
Repositorios GIT y SVNDESEADOS:
Paradigmas orientados a objetos
Patrones de diseño y arquitectura
Principios Solid
Marco de trabajo Scrum
Micro servicios
AWS
Pruebas unitarias¿Qué te ofrecemos?Ubicación: Reforma e Insurgentes (post COVID)Contratación por tiempo indefinido posterior a un periodo de prueba de 3 meses.Prestaciones de ley y superioresWorkflexBuen ambiente de trabajoSi cumples con el perfil ¡Queremos conocerte!Fecha de inicio prevista: 16/11/2020Tipo de puesto: Tiempo completoSalario: $30,000.00 al mesExperiencia:java, Spring, Hibernate, Web Services: 3 años (Requisito deseable)Nivel de Inglés:Nivel intermedio (Requisito deseable)"
Desarrollador Java Full Stack,STO Consulting,"STO CONSULTINGCONSULTORIA DE TECNOLOGIAS DE LA INFORMACIÓN, SOLICITA:DESARROLLADOR JAVA FULL STACKCON CONOCIMIENTO EN:Front-end y back-endJava Server Faces (JSF)Implementar Rest y SOAPManejo de Framework HibernateBase de datos OracleSI ESTAS INTERESADO ENVIADO TU C.V. ACTUALIZADO, PRETENSIONES ECONOMICAS Y DISPONIBILIDAD AL CORREO DE CONTACTO.Horas de medio tiempo: 40 por semanaTipo de puesto: Tiempo completo, Medio tiempo, Por contratoSalario: A partir de $40,000.00 al mesHorario:Turno de 8 horasExperiencia:DESARROLLO JAVA: 5 años (Requisito deseable)"
Desarrollador Java React,HRhero,"Ofrecemos De $25,000 a $28,000 pesos libres/contratación directa y esquema mixto/prestaciones de Ley y superiores /lunes a viernes de 9:00 a 18:00 p.m /El Fortín, Zapopan.Únete a nosotros somos una consultoría enfocada en el desarrollo de software, soluciones IoT, IA e integración en nube; somos un equipo amigable y profesional.De 2 a 3 años de experiencia como: Experiencia en levantamiento de información, análisis de requerimientos, historias de usuario, estimación y presentación de avances / Conocimiento y desarrollo de soluciones con ReactJS o React Native para front end experiencia en Manejo de componentes funcionales, hooks y promises, react router / Experiencia en el desarrollo de aplicaciones Back End con JAVA versión 7 o superiores, manejo de framework Spring/Spring Boot y Hibernate / Manejo de bases de datos relacionales como Postgresql MySQL, SQL Server, etc. Y NO SLQ como Mongo DB / Experiencia en consumo de servicios web REST, así como su administración en back-end asegurando el rendimiento y tiempos de respuesta / Sistemas Operativos Unix /Linux / Manejo de pruebas con JUnit y Mockito / Manejo de Git / Metodologías de Desarrollo ágiles / Documentación en líneaIDEAL:Nociones de ambientes en la nube (AWS, Google Cloud o Azure), manejo de servidores Linux y servidores web / Conocimiento de Docker y Kubernetes / Manejo de prácticas de UX / UI / Experiencia en testing automatizado de aplicaciones / Metodología ágil de desarrollo (XP, Scrum)Tipo de puesto: Tiempo completo, IndefinidoSalario: $25,000.00 - $28,000.00 al mes"
Desarrollador Web Backend,Grupo CODA,"Esta vacante viene de la bolsa de empleo Talenteca.com


Grupo CODA, empresa especializada en tecnologías de la información, en búsqueda de tu talento para formar parte de nuestro equipo de trabajo como:


“Desarrollador web orientado a .Net”


Requisitos:


Escolaridad: Licenciatura / Ingeniería en sistemas computacionales, informática o carrera a fín. (TITULO INDISPENSABLE)


Experiencia:


 De 3 años de experiencia como diseñador Web
 Experiencia en manejo de WCF (Indispensable)
 Desarrollar maqueta de pantallas
 Analizar diseño de base de datos
 JavaScript
 Experiencia con HTML 5
 Conocimiento avanzado en JQuery
 CSS
 Buen manejo de Boostrap
 Experiencia con Restfull
 JSON
 Manejo de base de datos SQL Server.


Si eres una persona con orientación al cliente y a los resultados, cuentas con buenas habilidades de comunicación, tienes iniciativa y te interesa aprender nuevas tecnologías, postúlate a esta oportunidad laboral.


Se ofrece:


Sueldo competitivo + prestaciones de ley.
Horarios de Lunes a Viernes de 9:00 am a 7:00 pm.
Zona a laborar: Tlalpan, CDMX


¡Forma parte de nuestra empresa! Si estás interesado (a) y cubres con el perfil envía tu CV a nuestra dirección de correo electrónico o postúlate por este medio, nos comunicaremos contigo para darte más detalles.

Esta vacante viene de la bolsa de empleo Talenteca.com: https://www.talenteca.com/mexico/empleo/tlalpan/desarrollador-web-backend/5f9c6aba570000697cc8a0cbt2?source=indeed"
Project Manager,Automotriz Bonn SA de CV,"Descripción del puesto: Conducir la dirección estratégica de los desarrollos en base a sistemas actuales y tecnologías emergentes, liderar, gestionar y supervisar a un equipo de desarrolladores de software, implementación y mejoras en servicios así como en procesos tecnológicos para adaptarlos a la empresa, supervisar las actividades para brindar el soporte y asesoría técnica al personal, así como el mantenimiento preventivo y correctivo a la infraestructura tecnológica de la empresa, establecer y coordinar los mecanismos de control y protocolos de seguridad necesarios para la salvaguarda y custodia de la información, sistemas y equipos de computo. Requisitos: Escolaridad en Ing. en sistemas computacionales o afín, maestría deseable. Experiencia mínima a 5 años en Análisis de información, bases de datos SQL, Administración de proyectos, manejo de algún CRM, conocimiento de Office avanzado, administración de redes, programación y desarrollos de software, conocimiento en lenguajes de programación JAVA, C++, C, HTML5, PHP, JAVA SCRIP, inglés avanzado, experiencia en marketing digital y análisis de mercado, conocimiento y/o certificación en administración de proyectos como Agile, PERT, KANBAN, PMI, experiencia en alguna tecnología BI como Qlik View, Qlik Sense, Tableu, Power BI. Competencias: Gestión, supervisión y control de procesos, Toma de decisión, Dirección de equipos de trabajo,Fecha límite para postularse: 25/11/2020Fecha de inicio prevista: 1/12/2020Tipo de puesto: Tiempo completo, IndefinidoSalario: Hasta $40,000.00 al mesBeneficios:Teléfono de la empresaExperiencia:Proyect Manager: 5 años (Requisito deseable)Trabajar desde casa:No"
Desarrollador Web,HUMAN RESOURCE IN ACTION SA DE CV,"EMPRESA NACIONAL SOLICITADESARROLLADOR WEBESCOLARIDAD INGENIERIA EN SISTEMAS Y AFINZONA DE TRABAJO GUADALUPE,NLEXPERIENCIA DE 5 AÑOS MINIMO EN CREACIÓN Y MANTENIMIENTO DE PÁGINAS Y/O APLICACIONES WEB CON PHP, INTEGRACIÓNES DE COMERCIO ELECTRÓNICOFUNCIONESMEJORA CONTINUA DE COMERCIO ELECTRÓNICOMANTENIMIENTO Y MEJORA DE PÁGINA WEBCREACIÓN Y MEJORA DE PRODUCTOS DIGITALESPROGRAMACION ORIENTADA A OBJETOSBASE DE DATOSPATRONES DE DISEÑOLENGUAJES PHP O ALGUNOS DE ESTOS (C#, VISUAL BASIC, JAVA)OFRECEMOS SUELDO DE 30 MIL HASTA 40 MIL LIBRES MAS P. DE LEYTipo de puesto: Tiempo completo, IndefinidoSalario: $30,000.00 - $40,000.00 al mesHorario:Turno vespertinoExperiencia:PHP DESARROLLO WEB: 4 años (Requisito mínimo)Educación:Licenciatura terminada (Requisito mínimo)"
Ingeniero de Datos / Desarrollador Python Jr,kubo.financiero,"KUBO FINANCIERO¡¡ESTAMOS EN CRECIMIENTO Y BUSCAMOS TALENTO COMO EL TUYO!!Estamos en búsqueda de un INGENIERO DE DATOS / DESARROLLADOR PYTHON JRREQUISITOS: Licenciatura en ciencias computacionales o afinesExperiencia en Desarrollo de software y manejo de base de datos SQL, Python 2 o 3Deseable Manejo de procesos ETL, Jenkins, Apache Spark, R, Desarrollo de API’s Django, Bases de datos NoSQLALGUNAS DE TUS PRINCIPALES RESPONSABILIDADES: Reportes y bases de informaciónImplementar procesos que permitan extraer información de nuestras distintas bases de datos y consolidarlas en nuestro repositorio centralDesarrollar y mantener los sistemas y rutinas actualesRealizar el seguimiento y documentar las solicitudes de información que llegan al áreaApoyar a los científicos de datos en solución de dudas, implementación de librerías e identificación de posibles fallos en sus desarrollosOFRECEMOS: Salario baseHorario de Lunes a ViernesPrestaciones de LeyCrecimiento y desarrollo profesionalSi estás interesado comparte tu CV al correo mencionado y nos comunicaremos contigo.!Tipo de puesto: Tiempo completo, IndefinidoSalario: $20,000.00 - $23,000.00 al mesHorario:Lunes a viernesTurno de 8 horasExperiencia:Puesto Similar: 1 año (Requisito deseable)"
DESARROLLADOR JAVA (CDMX),"Servicios Estratégicos en Tecnologías de Información, S. de R.L. de C.V.","¡ÚNETE A NUESTRO EQUIPO DE TRABAJO!



IMPORTANTE EMPRESA TI CON CERTIFICACIÓN BEST PLACE TO CODE
Para laborar en la Ciudad de México



Por crecimiento estamos buscando:



DESARROLLADOR JAVA (con conocimiento medio)



OFRECEMOS:
Sueldo base de $16,000.00 a $25,000.00 LIBRES (De acuerdo a experiencia)
Horario de lunes a viernes
Horario flexible
Prestaciones DE LEY Y SUPERIORES
Home Office
Excelente ambiente laboral
Capacitación
Crecimiento
Plan de carrera



REQUISITOS:
Escolaridad: Ingeniería o Licenciatura en Sistemas Computacionales o afin. (pasante o titulado)
Experiencia: Mínimo de 2 años como Desarrollandor Java
Ingles intermedio



CONOCIMIENTOS (indispensable):
Lenguajes de programación Java, JSP´s, JSF´s, HTML, JavaScript y Query como librería
Frameworks Hibernate, Spring, Struts (1 o 2) o DWR
Web Servers o Web Application ApacheTomcat, Glassfish o JBoss o WebLogic IDE indistinto (Eclipse, Netbeans, etc.)
XML, XSLT, Web Services, herramientas Todos Bases de datos SQL-Server, MySQL o Oracle UML & herramientas de diseño diagramas de clase, estado, etc. (Entendimiento y uso/ creación opcional)
Sistemas operativos Windows y Linux (Unix)
Otras herramientas y habilidades técnicas office, diagramas de flujo



Favor de postularse por este medio y nos comunicaremos contigo.



¡Te estamos esperando!



En SERTI estamos comprometidos a brindar igualdad de oportunidades de desarrollo para todos los empleados y candidatos a un empleo, sin excepción de raza, religión, sexo, orientación sexual, estado civil, edad, nacionalidad, origen o tipo de discapacidad. Respetamos y valoramos la diversidad como una fuerza de trabajo e innovación para la organización."
Desarrollador Java Spring,Reclutamiento IT,"Somos una consultora de servicios de desarrollo de software con integraciones en nube, soluciones IoT y Machine Learning con presencia en Latam y EEUU socios de Microsoft, Amazon, Oracle por mencionar algunas, nos preocupamos por brindar el mejor servicio a socios, clientes y colaboradores.¿Qué harás? Participarás en diversos proyectos de desarrollo y soluciones paquetizadas; nos orientamos a integraciones, desarrollo móvil, IoT, Big Data o IA; dentro de las actividades consideramos levantamiento de requerimientos y estimación (si aplica), codificación y documentación.¿Qué podemos darte a cambio?Además de un excelente ambiente de trabajo, mucho aprendizaje, formación y calidad humana, te ofrecemos: Ingreso de $44,000 pesos brutos contratación directa 100% nominal prestaciones de Ley y prestaciones muy atractivas superioresHorario de lunes a viernes de 9:00 a.m. a 6:30 p.m.Zona de trabajo: Home office y posteriormente oficina¿Qué buscamos?3 a 5 años de experiencia como:Desarrollador web JAVA, desarrollador JAVA, programador JAVA, Analista JAVA, Analista programador JAVA, Dev JAVA, Java Programmer Spring, java developer Junior, java FullStack, java senior, java pro, etc.3 años de experiencia en el desarrollo de aplicaciones Back End con JAVA versión 8 o superiores, manejo de framework spring Spring Web, Spring Boot, Spring security, Spring cloud. Spring Data, Spring Netflix, Zuul Ribbon, Histrix, Spring 5 webflux.Desarrollo Front End con HTML 5, Javascript ES 6 o +, typescript, Node, Angular 7 o +, compenents programming, Css, less, sass, flex boxManejo de Patrones: Repository, DAO, Handler, Chaining, Builder, ProxyBases de datos: Relacionales (Conocimiento de queries y Stored procedures) y No Relacionales (MongoDB, Cassandra, Elastic).Conocimiento básico en el manejo de contenedores.Conocimiento en el manejo de protocolos de comunicación REST SOAP (INDISPENSABLE)Metodologías: Ágiles (SCRUM, Kanban, Extremme Programming).Sistemas Operativos Unix /Linux, comandos básicosManejo de GitHub, SVN, Bitbucket, etc. Metodologías de desarrolloExperiencia práctica haciendo pruebas unitarias con Junit o alguna herramienta como Jmeter, SoapUIComunicarse con servicios web externosSistemas Operativos Unix /Linux, Servidores Web Tomcat, Apache o WebSphereDESEABLE: Manejo de plataformas AWS, Kubernetes, Docker, etc.Experiencia en testing de aplicaciones (AUT, IT, etc)Metodología ágil de desarrollo (XP, Scrum, etc)Orquestadores de tareas (Grunt, Gulp...)*Esta empresa cuenta con un proceso de reclutamiento y selección, inclusivo y libre dediscriminación.
Otorga las mismas oportunidades de empleo a las personas candidatas, sin importar: raza, color, religión, género, orientación sexual, estado civil o conyugal, nacionalidad, discapacidad, o cualquier otra situación protegida por las leyes federales, estatales y locales.Tipo de puesto: Tiempo completo, IndefinidoSalario: $43,000.00 - $44,000.00 al mesHorario:Lunes a viernesExperiencia:Desarrollo front HTML 5, Javascript ES 6 o +: 1 año (Requisito mínimo)JAVA 8 o superior: 2 años (Requisito mínimo)"
Desarrollador Web,Consultoria Gin,"IMPORTANTE EMPRESA COMERCIAL BUSCA PERSONAL CON AMPLIA EXPERIENCIA EN DESARROLLO WEBOFERTA:ESCOLARIDAD: Lic. en Ciencias de la Informática, Matemáticas aplicada o a finEXPERIENCIA: 3 Años como:Desarrollo de páginas Web desde ceroDesarrollo y mantenimiento de aplicaciones (nueva imagen y versión anterior)Hacer pruebas en sistemas en pre-producciónDesarrollo de Interfases de usuariosAsp- Net. NetPatrones de DiseñoDesarrollo de Interfases de usuariosDesarrollo de tiendas en líneaHERRAMIENTAS TECNICA:Html5AspNetJava ScriptCCSPHPJ sonHerramientas de integracion y APIS con websitesWord pressJoomlaCNSBootstrapM y s q I / SQL (Base de datos/conexiones)OFRECEMOSPRESTACIONES DE LEYUTILIDADESBONO DE PUNTUALIDADNOMINA 100%ZONA A LABORAR AZCAPOTZALCO/ZONA INDUSTRIAL VALLEJOTipo de puesto: Por contratoSalario: $25,000.00 - $27,000.00 al mesTrabajar desde casa:No"
Desarrollador de Software,Medimarcas,"Requisitos:
Edad: 20 a 30 años
Ingeniería en sistemas computacionales o licenciatura en tecnologías de la información
Conocimiento en lenguajes de desarrollo (PHP, MySql/SQL, Java script,HTML5, CSS/Bostrap, conocimientos en ERP (oracle)
Responsabilidades del puesto:
Desarrollo Back End
Diseño, gestión y validación de base de datos
Diseñar aplicaciones y sistemas de información
Solucionar errores en la ejecución de las aplicaciones y los sistemas
Agregar nuevas funciones a la ejecución de los sistemas
Documentar, diagramar y estructurar el codigo de cada sistema creado
Presentar y capacitar a los usuarios finales de los sistemas creados.Horario de lunes a viernes de 9 a 7
1 sabado al mes de 9 a 1Tipo de puesto: IndefinidoExperiencia:ERP (oracle) : 1 año (Requisito mínimo)desarrollo de aplicaciones y sistemas web: 2 años (Requisito mínimo)diseño y gestion de base de datos: 2 años (Requisito mínimo)soporte y soluciones a aplicaciones y sistemas web: 2 años (Requisito mínimo)Trabajar desde casa:No"
Desarrollador iOS,Grupo GarSa,"Objetivo: Desarrollo de aplicaciones móviles iOS con SwiftActividades:Análisis de requerimientosDiseño de base de datosDesarrollo de SoftwarePruebas AlfaOfrecemos:Sueldo competitivo + Prestaciones de LeyHorario: Lunes a Viernes 9:00 am - 6:00 pmZona de trabajo: Calzada del Valle, SPGGTipo de puesto: Tiempo completo, IndefinidoSalario: A partir de $20,000.00 al mesHorario:Turno de 8 horas"
Cura Deuda busca Desarrollador Web,Cura Deuda,"Descripción del empleoSolicita Desarrollador Jr/Mid level¿Para qué te buscamos?· Desarrollar grandes experiencias con aplicaciones web para nuestros clientes.· Mantener y actualizar aplicaciones con nuevas funciones.· Crear documentación de nuevas funciones.· Crear componentes reutilizables para nuestro sistema de diseño.· Revisar los requisitos y sugiera soluciones creativas.¿Qué debes conocer?Mínima de 1 año comprobable y tener conocimiento técnico de:· Python (Flask / Django) ó PHP (Laravel)· HTML/CSS/JavaScript (básico / medio)· MySQL ó PostgreSQL (construcción de consultas y conexión a lenguaje de programación)· APIs RESTful (construcción y consumo)· Git· Manejo de consolaDeseables· SCRUM / Metodologías Ágiles· Docker / Kubernetes· Administración de servidores· ReactJS o similares· Bases de datos no relacionales¿Con que aptitudes debes contar?ProactivoTrabajo en equipoAutodidactaOrganizadoBuena Lógica para resolución de problemasCapacidad de análisis, planeación y desarrollo de proyectosTipo de puesto: Tiempo completo, IndefinidoSalario: $7,000.00 - $14,000.00 al mesTrabajar desde casa:Sí, siempre"
