titulos,companias
ENCARGADO DE ALMACEN (ALIMENTOS),Krispy Kreme
MECANICO ELECTRICO,Nadro S.A.P.I DE C.V.
Subgerente de Tienda Retail,S. A. de C. V
Administración y Cobranza,Pieza Clave Consultoria
BANDERERO VIAL,ICA
Supervisor Operativo,Pollo Brujo
AUXILIAR DE ALMACEN,GRUPO GAL
Buscamos Periodista / Editor de noticias Freelance,Gold Analytics
ASISTENTE JURIDICO,GRUPO BOXITO
Encargado de compras,SANEAMIENTO SANA
EJECUTIVO CONTACT CENTER,Christus Muguerza Sistemas Hospitalarios
REPRESENTANTES MÉDICOS - MÉRIDA,Weser Pharma
Aprendiz de estilista. Bañador de mascotas,Petco
Capturista de almacén,DISH
AUXILIAR CRÉDITO Y COBRANZA,GRUPO ENERKOM
Analista de Datos,Farfan Real Estate
Topógrafo,Migdal Arquitectos
Gerente de Ventas,RaRo Company
Encargado de tienda,HM Consultores
Coordinador de Desarrollo Organizacional,HOSPITARIA
"Ejecutivo/a Orig Individual Sucursal (Mérida, Yucatán)",BBVA
CHOFER,MARCA
Asistente de Gerencia,Operadora Lasen
Gerente de hotel Boutique,Fullgas
NET DEVELOPERS,ITEXCO AND IMPROVING COMPANY
Auxiliar de atención a clientes,PiSA Farmacéutica
Gerente de Operaciones,IDTALENTO
Aux de almacén,DISTRIBUIDORA TAMEX SA DE CV
Chófer privado,"Inmobiliaria Roseta, SA"
Administrador General,HM Consultores
"Jefe de producción, giro mueblero o de construcción",HUMAN TALENTUM
"Eventual Ventas, Temporada",COPPEL
Auxiliar de Almacén,GRUPO SANCHEZ
Auditor de Procesos,"El Yucateco Salsas y Condimentos, S.A. de C.V."
Mérida Asesor de ventas,ECOPSA
"Promotor(a) Educativo(a), Valladolid",Save the Children
Residente de Obra Yucatán,INGENIEROS CIVILES ASOCIADOS S.A. DE C.V.
ELECTROMECÁNICO. ÁREA ELECTRÓNICA Y AUTOMATIZACIÓN,BACHOCO
Entrenador Canino/asistente de entrenador,Petco
American Eagle Outfitters - Sales Associate - 30 Hours - Mex...,American Eagle Outfitters
Almacenista,El Niplito del Sureste SA deCV
Soporte Técnico Merida,Fullgas
AUXILIAR CREDITO Y COBRANZA,Grupo Enerkom
Atención a Clientes,Credisoluciones
Lic. Psicología-Yucatán,Educarte
Vendedor de Mostrador por Temporada,S. A. de C. V
AUXILIAR ADMINISTRATIVO.,INMOBILIARIA ORAB
SUPERVISOR DE VENTAS,Berny Distribuidora SA de CV
vendedor de mostrador,FARMACIAS SIMILARES
Lider de Créditos Micronegocios,Financiera Independencia
Auxiliar de Soporte Técnico,Diamoro Mex
ventas y atencion al cliente Yucatan,ARCHOS
ADMINISTRADOR DE TIENDA,TIENDAS EXTRA
ALMACENISTA,ILCO CONSTRUCTORES
"Vendedor(a) - Mérida, Yuc",Sun Lift Montacargas
Comprador con experiencia,TOTALMENTE REFLEJANTE SA DE CV
INSTALADORES DE TPV's / TECNICOS DE CAMPO,POS MANAGEMENT S.A DE C.V.
Dirección Comercial Inmobiliario y Lotes de Inversión,Arrigunaga Cano S..C.
Asistente Contable,ROVIEL
Software Development Manager,Verato
Auxiliar de Reservaciones,Operadora Lasen
Almacenista,EL REY DEL TORNILLO
Auxiliar de cuentas por pagar,"EL NIPLITO DEL SURESTE, S.A. DE C.V."
Responsable de sucursal,SERTEC (SERVICIOS TECNICOS DE COBRANZA)
Representante de ventas,Healthcare Corporation of North America
mantenimiento general,Soriana Súper Plaza Oriente
Coordinador de Capacitación,IQ Consulting Group
TECNICO MANTENIMIENTO,Christus Muguerza Sistemas Hospitalarios
Auxiliar de piso de venta,Compañia Mexicana de Proteccion S de RL de CV
Coordinador de Branding,SB soluciones
Encargado de Reparto,La Europea Casa de Vinos y Licores
Auxiliar de almacén,POLIMERIDA SA DE CV
AUXILILAR DE SUCURSAL,TWEEZER
ASESOR INMOBILIARIO,Colocandote
AUXILIAR CONTABLE,GRUPO MECA
AUXILIAR DE TALLER,DESIGN EXPRESS
CHOFER - ALMACENISTA.,FARMACIAS DEL BAZAR
"Operador de torton, rabol",CONSULTORIA VITE
GERENTE EX AFORE PARA BROKER SURA/ ZONA MERIDA,AFORE SURA
Velador Turno Nocturno,IDTALENTO
EJECUTIVO DE VENTAS,AX MEXICO
Técnico en mantenimiento en maquinaria pesada,EPA Laboral
TÉCNICO EN AIRE ACONDICIONADO AUTOMOTRIZ,COMERCIALIZADORA Y DISTRIBUCION DE MATERIALES DEL...
ASESOR DE VENTAS DE TELEFONÍA,SERVICEL
Representante de seguros AXA,Grupo GYA
AGENTE DE SEGUROS CON CÉDULA,W10
TÉCNICO INSTALADOR.,KEY QUIMICA SA DE CV
Ejecutivo de Ventas,Macizo
Agente de seguros con cédula,Working10 S. de R.L. de C.V.
Gestor de Cobranza Tizimín,Banco Azteca
chofer repartidor,Conalum
MECANICO DE CAMPO/SEMAFORISTA,GRUPO LLANTERO LASERMA SA DE CV
Enfermera general,HOSPITARIA
"Coordinador de cámaras, alarmas, CCTV, etc.",GRUPO ATS SEGURIDAD EMPRESARIAL
REPARTIDOR DE COMIDA,EXPRESS LUNCH ADORADITAS
DESPACHADOR DE GASOLINA,GRUPO POLIGAS
Ventas Cambaceo,DISH/MVS
PROMOVENDEDOR (AL262),TALENT GROUP
ejecutivo de ventas,G&D
GUARDIA DE SEGURIDAD,EVOLUCIONE
AYUDANTE DE CHOFER DE VENTAS,LALA
CHOFER VENDEDOR,ECO ENERGY
OPERADOR DE TRACTO CAMIÓN FULL O COMPLETO.,FLETERA PEGASO
Mercadóloga exp Diseño $4mil neto mensual 5hrs al día L-V CO...,Everbest Consultores
OPERADOR DE TRACTO CAMIÓN FULL,MULTISUR
OPERADOR DE TRACTO CAMION,GRUPO GAL
EMPLEADA DE SEGURIDAD,EVOLUCIONE
Vendedor Ejecutivo de Autos Multimarca - Mérida Plaza Patio,Grupo Autofin Monterrey
REPARTIDOR DE COMIDA,LOS TROMPOS
Chofer de pipa,Delta Gas
GUARDIA,ALARMAS VIGILANTE
CHOFER DE REPARTO,Conalum
CHOFER DE TORTON,EVOLUCIONE
Asesor PyME,Financiera Independencia
PROMOTOR DE SERVICIOS DE TELEFONÍA CELULAR,GRUPO SISPROVISA
Asesor/ejecutivo Crédito Pyme,Financiera Independencia
Ejecutivo Financiero Pyme,Financiera Independencia
AZURE CLOUD DEVOPS ENGINEER,Agile Thought
Ventas en Campo. Restaurantes y Pymes,IDTALENTO
chofer de pipa,Randstad
TÉCNICO INSTALADOR DE TANQUES DE GAS LP,DELTA GAS DEL SURESTE SA DE CV
OPERADOR DE FULL,AMERISA LOGISTICS
Vendedor de Campo. En motocicleta.,IDTALENTO
ENFERMERA ESPECIALISTA CIRUGIA,Christus Muguerza Sistemas Hospitalarios
Vendedor. Restaurantes y Pymes,IDTALENTO
Coordinador Administrativo,TRACTO MONTAJES S DE RL DE CV
Agente de Servicio al Cliente,Principal Financial Group
Optometrista Las adelitas,Ópticas +Visión
Optometrista Walmart Victoria Centro,Ópticas +Visión
"Manager, CI and Engineering",VG Talent Solutions
SUPERVISOR DE VENTAS,Arca Continental
SUPERVISOR ELECTORAL,INE
Supervisor de Operaciones,Transportes JSV
AUDITOR OP,MECASA PLUS
Recepcionista/Auxiliar administrativo,Mejia y Sucesores S.C
Ejecutivo de Cuenta Jr,HSBC
CAPACITADOR ASISTENTE ELECTORAL,INE
COORDINADOR DE SEGURIDAD Y MEDIO AMBIENTE,"INDUSTRIAS RHEEM, S.A DE C.V."
TECNICO DE PRODUCTO,AUTOMOTIVE MAQUILADORA
Atención a clientes,Movilidad Mexico HH
JEFE DE ALMACÉN,INDUSTRIA DE MOTORES ELECTRICOS S.A DE C.V.
SUPERVISOR DE SEGURIDAD EN EL RAMO PETROLEOQUÍMICO,MANTENIMIENTO Y JARDINERIA MARICH
Supervisor de Produccion Jr,Flex Americas SA de CV
Supervisor de Almacén de Producto Terminado,GEPP
SUPERVISOR DE UNIDADES DE NEGOCIO/TIENDAS TAMPICO,Bumeran
"EJECUTIVO DE VENTAS CORPORATIVAS CD. VICTORIA, TAMPS.",TELCEL
Mantenimiento de tracto camiones,Consulting HR
Gerente Administrativo y Operativo,Transporte de Carga General
ASESOR COMISIONISTA,FINANCIERA MAESTRA SA DE CV
ENCARGADO DE COMPRAS,GRUPO GAREL
AUDITOR DE TIENDA,BAFAR
TECNICO LABORATORIO,Christus Muguerza Sistemas Hospitalarios
ENCARGADO DE MANTENIMIENTO,PRESTADORA DE SERVICIOS TAMAULIPAS
SUPERRVISOR ADMINISTRATIVO,CALIZA DEL GOLFO S.A. DE C.V.
Chofer almacenista,DIREGO
AUXILIAR DE ALMACÉN,INDUSTRIAS DE MOTORES ELECTRICOS
Quality Control Clerk,Caterpillar
ANALISTA DE COMPRAS,XCF TRANSPORTE DE CARGA CONSOLIDADA
Auditor de Calidad,Carrier
Supervisor General de Producción,TPI Composites
Supervisor de Producción,Aptiv Nuevo Laredo 1
Enfermero,BeGroup
SUPERINTENDENTE DE SEGURIDAD Y MEDIO AMBIENTE,"INDUSTRIAS RHEEM, S.A DE C.V."
Ejecutivo de Ventas Corporativas,TELCEL
COORDINADOR DE PATIO,CALIZA DEL GOLFO S.A. DE C.V.
Warehouse Supervisor,Spellman High Voltage Electronics Corporation
Supervisor de Zona Reynosa,Grupo Inlosa
Capturista de Intercambios,Soluciones Integrales
Quality Technician,Corning
Supervisor HSE,Quironprevención México
NPI Technician,Johnson Controls
Customer Service Representative,Motorola Solutions
Auditor de Calidad,Kidde Matamoros
Despachador,BeGroup
Subgerente de tienda,Price Shoes
“ADMINISTRADOR DE GARANTÍAS”,AMDA
Production Control Supervisor (Torreón - ESystems),Lear Corporation
Auxiliar Administrativo para Área de Calidad,RECURSOS TAMESI S.A. DE C.V.
ALBAÑIL,DELUSA S.A. DE C.V.
Supervisor de Seguridad Industrial,Vision Systems De Mexico
CAPTURISTA DE DATOS,ACERO VENTAS MA SA DE CV
Gerente General Hotel,Hotel Ingleterra
Auxiliar de almacèn,Conexion Laboral
PELUQUERO CANINO- PETCO TAMPICO,Petco
Buyer Technician,Corning
GERENTE ADMINISTRATIVO,CALIZA DEL GOLFO S.A. DE C.V.
Ing de Proyectos Suc. Tampico,Grupo GR
REPRESENTANTE DE VENTAS,PRESTADORA DE SERVICIOS TAMAULIPAS
Consultor SAP PM Semisenior,Beeworks
Puesto: Vendedor de mostrador y atención al cliente,"Polyelectric, S.A. de C.V."
Quality Assurance Analyst,Caterpillar
Técnico Instrumentista,ABSORMEX SA DE CV
Auxiliar de Finanzas,IDECASA
CAJERO,OPERADORA SUBURBIA S.A. DE C.V.
Facturista,PEDRERA
AUXILIAR DE CREDITO Y COBRANZA,IRH SERVICIOS DE CONTROL
TECHNICAL MANUALS COORDINATOR,"INDUSTRIAS RHEEM, S.A DE C.V."
Courier CVM,DHL Express
Manufacturing Analyst,Caterpillar
Subgerente de Perecederos,Soriana
GERENTE DE COMPRAS,ACERO VENTAS MA SA DE CV
Auxiliar de Logística,Maquiladora de Inoxidables de Reynosa SA de CV
AUXILIAR CENTRO DE TIENDA ABARROTES,heb tampico-madero
"Process Engineer (Matamoros, Tamps)",Autoliv Mexico
"AMG Leader (Matamoros, Tamaulipas)",Autoliv Mexico
ING. ELECTRICO CON VISA Y PASAPORTE VIGENTE,VM CORREA EXPERTOS EN INSTALACIONES ELECTROMECANIC...
SUBGERENTE DE VENTAS,ORGANIZACIÓN KOLIA S. DE R.L. DE CV
Procurement Analyst (Torreón),Lear Corporation
Gerente de Mantenimiento,Transporte de Carga General
Facturista,Grupo Serna
PRODUCTIVITY BUYER,Valeo
OPERADOR B1,PROEXI INTERNACIONAL
AUXILIAR DE BODEGA CUARTOS FRÍOS,QUESERÍA CHILA
Financial Analyst,Corning
Auxiliar Contable,Steelgo Fabricacion
Equipajero,Omnibus de Mexico S.A de C.V
SUPERVISOR DE GARANTIAS,BBB INDUSTRIES DE MEXICO
Almacenista,DIREGO
EMPLEADO DE PATIO EN GASOLINERIA,GRUPO GAREL
Operator - 57505,CommScope
Capturista de datos,Médicos Sin Fronteras en México
Técnico de Última Milla,"CABLETAMPS, S.A. DE C.V."
INSPECTOR DE CALIDAD,TRACTO MONTAJES Y MANIOBRAS S.A. DE C.V.
VENDEDOR ELITE CON SUELDO DE ARRANQUE SEMANAL,SCG
Operador Transfer,Elola
mecanico diesel,TLW FREIGHT MEXICO
AYUDANTE DE COCINERO,COCINA MATAMOROS
INTERCAMBISTA,TRANSPORTES UNIDOS CASTAÑEDA SAPI DE CV
Operador foráneo,AUTO EXPRESS SALDIVAR
Mecanico Diesel,TEXAS CARRIERS
AUXILIAR DE SALCHICHONERÍA,"ADMINISTRACIÓN SORIANA, S.A. DE C.V."
Analista de cuenta,Onilog Group
AUXILIAR DE COCINA,HOSPITAL MÉXICO AMERICANO
GUARDIA DE SEGURIDAD,ASIMEX GLOBAL
CHOFER/OPERADOR,TRAESSA S.A DE C.V
Asesor de Crédito Pyme Freelance,Representación hipotecaria
Gestor de Cobranza Reynosa,Financiera Independencia
GUARDIA DE SEGURIDAD,GRUPO EMPRESARIAL DE SEGURIDAD PRIVADA DEL GOLFO S...
MECÁNICO DIÉSEL,FLETES MODERNOS SAGO
GESTOR DE COBRANZA DOMICILIARIA,PRÉSTAMOS RELÁMPAGO
Vendedor de Telefonía ATT en Reynosa Plaza Citadina,Prime MX
Operador Quinta Rueda,AUTOTRANSPORTES VARELA DAVILA S.A. DE .C.V.
OPERADOR FULL O SENCILLO,INNOVATIVOS
CHÓFER DE VEHÍCULOS DE CARGA,"MATAMOROS CARGO, S.A. DE C.V."
OPERADOR 5TA RUEDA LOCAL,XCF TRANSPORTE DE CARGA CONSOLIDADA
CHOFER,"TRAESSA, S.A. DE C.V."
TECNICO EN PLATAFORMAS.,JASA RENTA VENTA REFACCIONES
Mecanico diesel (Freightliner),Human Access
CHOFER VENDEDOR TORTILLERIA,TORTILLERIA EL VAGON S.A. DE C.V. VICTORIA TAMAULI...
"TECNICO EN MANTENIMIENTO CON EXPERIRNCIA EN CAJEROS NCR, WIN...",Selectiva RH
Gestor de Cobranza Domiciliaria,Financiera Independencia
GUARDIA DE SEGURIDAD PRIVADA,Servicio Global de Seguridad y Sistemas Privados G...
Representante Medico,Confidential_
Guardia de Seguridad,TRANSPORTES UNIMEX SA DE CV
OPERADOR TRANSFER,LINEAS INTERNACIONALES SAYA
Toma de muestras - Lic. Enfermería en Tampico,RRHH Ingenia
MEDICO PARA ZONA CENTRO RIOVERDE SLP,Farmacias del Ahorro
Lic. Enfermería para Cd. Victoria,RRHH Ingenia
guardia de seguridad interna,Servicios Industriales NSI S.A de C.V.
AUXILIAR DE LIMPIEZA,SERVICIO INDUSTRIAL NSI
CHOFER QUINTA RUEDA,TRISA COMERCIAL
Promotor de crédito,Inversiones Accionarias Landus
ayudante de tortilleria,Talent Group - Consultoría de Recursos Humanos
GUARDIA INTERCAMBISTA,COSEPSI
operador 5ta rueda,LassoHunter
Vendedor de Creditos Cambaceo,Financiera Independencia
GUARDIA DE SEGURIDAD,GRUPO COSEPSI S.A. DE C.V.
INFONAVIT ASESOR COBRANZA DOMICILIARIA,CIASC Consultores e Investigadores en Investigació...
Guardia de Seguridad,TRANSPORMEX
OPERADOR DE TRANSFER,"OPTIMUS TRUCKING, S.A. DE C.V."
guardia de seguridad privada,SEICSA
OPERADOR TRANSFER 5TA RUEDA,XCF TRANSPORTE DE CARGA CONSOLIDADA
vendedor comisionista en campo,Randstad
SUPERVISOR DE COBRANZA EN MOTO,RAC México
SE SOLICITA VENDEDORA COMODIN,ARMENTA VISIÓN OPTICAS
ejecutivo de ventas,ARMENTA VISIÓN OPTICAS
Superintendente de Almacén y Recibo,Adient
Coordinador Regional,RH Express
Gerente Regional de Ventas - Créditos vía nómina,OPERACION Y AUDITORIA SA DE CV
Encargado de tienda,Tiendas 3B
POLICIA DE PROTECCIÓN FEDERAL,SERVICIO DE PROTECCIÓN FEDERAL
Atencion al Cliente e Informes de Servicios,ENGLISH INFORMATICS
AYUDANTE GENERAL,PROMOTORA DE RH ADMINISTRATIVOS DE OCCIDENTE SA DE...
AUXILIAR ADMINISTRATIVO,MATERIALES RESIDENCIALES DEL SUR
Líder de sucursal,Multiacabados de México S.A de C.V.
Trainee de Planeación de proyectos,MCI Technology Automation & Service S de RL de CV...
Asesor de viajes Tlaxcala,Viajes El Corte Inglés México
SALES SUPPORT TLATL,Fastenal Mexico
SUPERVISOR DE SOLDADURA Y PAILERÍA,FABRICACIONES ESPECIALIZADAS DE TLAXCALA S.A. DE C...
COORDINADOR DE FACTURACIÓN,CONVERTIDOR DE PAPEL S.A. DE C.V.
CAJERO,TIENDAS SORIANA
Censador de Campo,JTI
Ajustador de Inyeccion,S.A de C.V
PROMOTOR OTC,PRESTADORA DE SERVICIOS LOS REMEDIOS
Abogado Juridico Contencioso,Prestamo Feliz
vendedor de piso,DAFER
Ing.SQA (Aseguramiento en calidad de proveedores),SantaFe consultores
Promotor Electrolit,LABORATORIO PISA
AUXILIAR ADMINISTRATIVO,FABRICACIONES ESPECIALIZADAS DE TLAXCALA S.A. DE C...
AUXILIAR CONTABLE,BIG PLASTICS
VENTA DESDE CASA,AXANA
SUPERVISOR DE VENTAS,BIG COLA
Schneider Internship - Purchasing,Schneider Electric
Schneider Intership - Human Resources,Schneider Electric
AUXILIAR ADMINISTRATIVO,SERVICIOS INCORPORADOS MULTIPLES SAPI DE CV
"Meseros Fines de Semana - Taquería en Val'Quirico, Tlaxcala",Mentory Grupo Consultor Turístico
Ayudante General - Zona Apizaco,"Muebles Dico SA de CV - Tepotzotlán, Estado de Méx..."
AYUDANTE DE MANTENIMIENTO INDUSTRIAL,MICEAR
VENDEDOR EVENTUAL,COPPEL
EMPLEADO DE MOSTRADOR,PRESTADORA DE SERVICIOS AIRIN S.C
DOCENTE DE PSICOLOGÍA,CENTRO CULTURAL HEBERT ROMERO PEÑA A.C.
VENTAS,Yireh & Brokers
CAJERO,CHEDRAUI CHIAUTEMPAN
Consultor Junior Nivel 1,ITEIN
AUXILIAR DE PISO,CRISTA HOGAR
Auxiliar de Atención a Clientes,GUADALUPE AVILES AGUNDEZ
chofer vendedor,OPERADORA GPM
AYUDANTE GENERAL,INGENIERIA DAPSA SA DE CV
Analista Financiero Sr.,Adient
ASESOR DE VENTAS EN IMPORTANTE TIENDA DEPARTAMENTAL (TLAXCAL...,Grupo Promass
Promotor Autoservicio,PiSA Farmacéutica
cajera - Medio tiempo,ABASTECEDORA DE MATERIALES DEL CENTRO
AYUDANTE GENERAL,PRODUCTOS IDEAL
"ASESOR EJECUTIVO PARA TIENDA DEPARTAMENTA SUC, APIZACO TLAX.","Grupo Promotora Masiva de Seguros, Agente de Segur..."
"VENTAS DIGITALES , SUPERVISOR",Grupo 30 inventos
trabajador general,abc ocotlan
Asesor de ventas y atencion a clientes,Afore Invercap SA de CV
OPERADOR DE MONTACARGAS,RHS LATAM
OPERADOR 5TA RUEDA,AUTO TRANSPORTES DEL REAL S.A. DE C.V.
Auxiliar de almacén,Aluvisam
AUXLIAR ADMINISTRATIVO,SWCA S.A. DE C.V.
OPERADORES QUINTA RUEDA FULL Y SENCILLO,transportes unidos trucka
JEFE DE ALIMENTOS,CHEDRAUI CHIAUTEMPAN
DOCENTE DE MATEMÁTICAS,CENTRO CULTURAL HEBERT ROMERO PEÑA A.C.
CHOFER VENDEDOR A DETALLE,Distribuidora Tamariz S.A de C.V.
OPERADOR LOGISTICO,SERVICIOS INCORPORADOS MULTIPLES SAPI DE CV
Administrador de Ventas de Acero Especial,Grupo Simec
Mesero Val'Quirico,La route des vins
Gerente de Ventas,CPR TLAX
VENDEDOR,PRODUCTOS IDEAL
DOCENTE DE FÍSICA,CENTRO CULTURAL HEBERT ROMERO PEÑA A.C.
VELADOR,SUPER CHEDRAUI HUAMANTLA
Promotor Re-etiquetado autoservicio y conveniencia,Map
promotor de cambaceo,Corporativo Si+RH
AYUDANTE DE MANTENIMIENTO INDUSTRIAL,SEICO
Cocinero o Parrillero Fines de Semana - Taquería Gourmet en...,Mentory Grupo Consultor Turístico
CHOFER VENDEDOR,INDUSTRIAL PATRONA S.A. DE C.V
Ayudante de Barra Val'Quirico,La route des vins
AUXILIAR DE DISEÑO GRÁFICO,SECAMAIN
Ejecutivo patrimonial (ventas),YIREH & BROKERS AGENTE DE SEGUROS
"Coordinador de Sucursal, Apizaco",Exitus Credit Sapi de CV SOFOM ENR
Coordinador del departamento de Diseño Mecánico,MCI Technology Automation & Service S de RL de CV...
chofer torton,plistayew
AUXILIAR DE ALIMENTOS,CHEDRAUI CHIAUTEMPAN
TECNICO DE MANTENIMIENTO,RACKS AND DUNNAGE AUTOMOTIVE
ELECTRICO INDUSTRIAL,ITISA
CHÓFER DE REPARTO,COMERCIALIZADORA SALMA
DESARROLLADOR APEX Y READ NATIVE,Intesystems
AYUDANTE DE CHOFER,COMERCIALIZADORA SALMA
VENDEDOR DE PANADERÍA,BODEGA AURRERA CHIAUTEMPAN
Vendedores Motociclistas (Tlaxcala),IVS TELCEL
Runner Val'Quirico,La route des vins
GESTOR DE COBRANZA Y MENSAJERIA,PIGMACOLOR SA DE CV
Vendedora de mostrador fines de semana,Pastelería La Zarza
Creador de contenido,Grupo 30 inventos
OPERADOR DE MAQUINA CNC,FERPER SPRINGS DE MEXICO
AYUDANTE DE COCINA,La Casa de los Hacendados Restaurante
Ayudante general de taller de maquinas y herramientas.,MCI Technology Automation & Service S de RL de CV...
Ayudante de Cocina Val'Quirico,La route des vins
Técnico Instalador - Cobre / Fibra óptica,FIXS BUSINESS
JEFE DE TALLER AUTOMOTRIZ,INTEGRA AUTOMOTRIZ
AYUDANTE MULTIFUNCIONAL,ITISA
Asesor de crédito,MÁSKAPITAL
Freelance Soporte Técnico en Campo- Tlaxcala,icorp
SOLDADOR,LOHR MEXICO
TECNICO MECANICO,SIMEC
OPERADOR DE MONTACARGAS,MORPHOPLAST S.A. DE C.V.
AUXILIAR DE LIMPIEZA,TIENDAS SORIANA
Lider de proyecto-Cambaceo,HELICOM
MECÁNICO INDUSTRIAL,ITISA
Asesor Financiero,YIREH AND BROKERS
Diseño Gráfico Web,Grupo 30 inventos
OPERADOR CNC,GLOBALIZACIÓN METAL MECÁNICA PCMI S.A. DE C.V.
Ayudante de Mantenimiento,EMINSA
Guardia de Seguridad,NOR SEG
EMPACADOR PARCIAL DE PANADERIA,TIENDAS SORIANA
Arquitecta,RH recursos
CHOFER REPARTIDOR,GRUPO NAVISA
MECÁNICO AUTOMOTRIZ DIÉSEL,CONVERTIDOR DE PAPEL S.A. DE C.V.
Gestor de Cobranza Huamantla,Banco Azteca
Parrillero o Cocinero Fines de Semana - Taquería Gourmet en...,Mentory Grupo Consultor Turístico
GESTOR DE COBRANZA,CONSULTORIA EMPRESARIAL DE PLAYA DEL CARMEN
PROMOTOR DE VENTAS,TELEFONÍA CELULAR DE TLAXCALA S.A. DE C.V.
PROMOTOR DE CREDITOS GRUPALES DE CAMPO,LABORIKA
GUARDIA DE SEGURIDAD,TRANSPORTES QUINTANILLA S.A. DE C.V.
MECÁNICO AUTOMOTRIZ,MICEAR
ELÉCTRICO AUTOMOTRIZ,INTEGRA AUTOMOTRIZ
Asesor de crédito San Pablo del Monte Tlaxcala,MasKapital
Chofer 3.5 Apizaco,Talento Humano
AUXILIAR DE LIMPIEZA,BODEGA AURRERA LOMA FLORIDA
EJECUTIVO DE VENTAS CAMBACEO,WIZZ APIZACO
Chofer vendedor a detalle,EXCELLENT SERVICES
CHÓFER DE QUINTA RUEDA,CONVERTIDOR DE PAPEL S.A. DE C.V.
Gestor de cobranza San Pablo del Monte,Banco Azteca
chofer de tractocamion,Psiem: Psicología Empresarial
CHÓFER REPARTIDOR,ABC ALUMINIO
OPERADOR DE GRÚA,ITISA
Asesor/a de Ventas #Huamantla #Trabajo # Ventas,NETWEY TELECOMUNICACIONES
Optometrista,Psiem: Psicología Empresarial
Guardia de Seguridad,Hejmo
TORNERO FRESADOR,GLOBALIZACIÓN METAL MECÁNICA PCMI S.A. DE C.V.
ADMINISTRATIVO DE VENTAS,SIMEC
Ejecutivo/a Hipotecario,BBVA
Auxiliar Administrativo (PLD),YALE DE MEXICO S.A. DE C.V.
SE SUPERVISOR ELECTORAL,INE
Gerente General,HOTEL ZAR
AUXILIAR ADMINISTRATIVO,SEMILLAS PROSESO
JEFE DE RECURSOS HUMANOS,LIVERPOOL
CAPACITADOR - ASISTENTE ELECTORAL,INE
RECEPCIONISTA,HOTEL GRAN FESTIVALL
COORDINADOR DE LOGISTICA,RANCHO EL TESORO DE LA PRIMAVERA
CAE CAPACITADOR ASISTENTE ELECTORAL,INE
AYUDANTE DE REPARTO,PROLOGISTIC SA DE CV
EJECUTIVA/O EN ATENCION CLIENTE MANZANILLO,Finatrade
Asesor de Ventas,AUTOMOTORES FLOVA
COORDINADOR DE PATIO,Transportes Peñon Blanco
Jefe de Recursos Humanos,Sicar Farms
AYUDANTE GENERAL,"LA GUADALUPANA CASA FUNERAL, S.A. DE C.V."
Analista de Estudios Socioeconómicos COLIMA,Consultores en RH
SECRETARIA,MOSA MUEBLES
ENCARGADO DE PLAGAS Y ENFERMEDADES,BANAMARES
Lider en Ventas Colima,DORMIMUNDO
GESTOR,RYASA
AUXILIAR CONTABLE,Factor Humano Colima
Servicio al Cliente,C&A
ENCARGADO DE INOCUIDAD,BANAMARES
Auxiliar Administrativo y Facturación,Grupo illingworth Logistics
Gerente de Ventas,Flosol Motors
SUPERVISOR DE DESHIJE,BANAMARES
ALMACENISTA,CITROJUGO
"VENDEDOR DE CAMPO - CD. GUZMAN, JALISCO",CEMEX
Ejecutivo de ventas Aautomotriz,Grupo Autofin Monterrey
ATENCION A CLIENTES,FERTILIZANTES GOMEZ S.A. DE C.V.
ASISTENTE DE GERENCIA DE SERVICIO,GRUPO MOTORMEXA COLIMA SA DE CV
Gerente de Calidad,Sicar Farms
Hostess recepcionista,Oz Toyota Colima
CAJERA ADMINISTRATIVA,HONDA COLIMA
AUDITOR INTERNO,Factor Humano Colima
Ejecutivo de Ventas Corporativas COLIMA,TELCEL RADIOMOVIL DIPSA SA DE CV
Basculista,Terminal Marítima Hazesa
Gerente de Ventas,Automotores Flova
Encuestador Estudios Socioeconomico,Servicios GCE
Ejecutivo de Trafico,INTEGRACE
ALMACENISTA,SURTIDORA DE FERRETERIA Y MATERIALES S.A. DE C.V.
TRAMITADOR ADUANAL,Grupo GAMAS
CARNICERO,PRESTADORA DE SERVICIOS CASREY
Auxiliar de Logística,Transportes Logísticos Especializados
MOZO DE ROPERIA,HOTEL GRAN FESTIVALL
INSPECTOR DE SEGURIDAD,AHK
Ejecutivo de Operaciones,Grupo ampm
ELÉCTRICO AUTOMOTRIZ CON EXPERIENCIA,ARMSTRONG ARMORED DE MEXICO SA DE CV
AUXILIAR DE PATIO,IMPALA
ENCARGADO DE RANCHO,PRESTADORA DE SERVICIOS CASREY
Móvil operativo de apoyo,LA GUADALUPANA CASA FUNERAL
Ejecutivo de Relaciones Públicas,Rilea
Técnico Auxiliar,Camiones Selectos S de Rl de Cv
TRAMITADOR DE PREVIOS,FERNANDEZ HINOJOSA Y CIA GRUPO ADUANAL
ASESOR DE SERVICIO MANZANILLO,SURA CORPORATIVO
Media Executive,Dentsu Aegis Network
Electrico,Terminal Marítima Hazesa
Monitorista CCTV,Corporativo Si+RH
MESERO,HOTEL GRAN FESTIVALL
Flebotomista,Analisis Clinicos del Dr. Simi
PROSPECCIÓN DIGITAL,Grupo 30 inventos
Operador de Payloader/ Cargador Frontal,Impala Terminals Services SA de CV
Glosador,SIPO SC
SUPERVISOR DE SEGURIDAD,CASINO PLAZA
